timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2024-10-14T00:00:00.000Z";"2024-10-14T23:59:59.999Z";"2024-10-14T23:02:00.000Z";"2024-10-14T02:08:00.000Z";"2781";0.1113357708;0.1174559213;0.1094292381;0.116653846;1038038455.24;17074515702.7;"2024-10-14T23:59:59.999Z"
"2024-10-13T00:00:00.000Z";"2024-10-13T23:59:59.999Z";"2024-10-13T00:46:00.000Z";"2024-10-13T15:31:00.000Z";"2781";0.1114157844;0.1120046349;0.1087990126;0.1113356517;573648912.85;16294580844.2;"2024-10-13T23:59:59.999Z"
"2024-10-12T00:00:00.000Z";"2024-10-12T23:59:59.999Z";"2024-10-12T11:25:00.000Z";"2024-10-12T03:30:00.000Z";"2781";0.1107330672;0.1120580442;0.1094567453;0.1114161535;519024337.99;16304771549.23;"2024-10-12T23:59:59.999Z"
"2024-10-11T00:00:00.000Z";"2024-10-11T23:59:59.999Z";"2024-10-11T21:37:00.000Z";"2024-10-11T01:38:00.000Z";"2781";0.1059797914;0.1113435292;0.1057021384;0.1107330672;650490847.35;16203356714.08;"2024-10-11T23:59:59.999Z"
"2024-10-10T00:00:00.000Z";"2024-10-10T23:59:59.999Z";"2024-10-10T05:55:00.000Z";"2024-10-10T18:11:00.000Z";"2781";0.1079374814;0.1084502475;0.1033075052;0.1059797914;749185962.84;15506352255.03;"2024-10-10T23:59:59.999Z"
"2024-10-09T00:00:00.000Z";"2024-10-09T23:59:59.999Z";"2024-10-09T15:28:00.000Z";"2024-10-09T21:02:00.000Z";"2781";0.1070442115;0.1111318378;0.1063772752;0.1079385699;667785122.65;15791356756.64;"2024-10-09T23:59:59.999Z"
"2024-10-08T00:00:00.000Z";"2024-10-08T23:59:59.999Z";"2024-10-08T02:11:00.000Z";"2024-10-08T15:37:00.000Z";"2781";0.1086516875;0.1097041147;0.1053524436;0.1070442115;615072080.71;15659195446.25;"2024-10-08T23:59:59.999Z"
"2024-10-07T00:00:00.000Z";"2024-10-07T23:59:59.999Z";"2024-10-07T02:04:00.000Z";"2024-10-07T23:59:00.000Z";"2781";0.1114800858;0.115209053;0.1086545304;0.1086545304;849108258.08;15892862220.29;"2024-10-07T23:59:59.999Z"
"2024-10-06T00:00:00.000Z";"2024-10-06T23:59:59.999Z";"2024-10-06T16:07:00.000Z";"2024-10-06T07:00:00.000Z";"2781";0.1094870218;0.1126559745;0.1085116204;0.1114800858;435305366.07;16305060217.11;"2024-10-06T23:59:59.999Z"
"2024-10-05T00:00:00.000Z";"2024-10-05T23:59:59.999Z";"2024-10-05T01:14:00.000Z";"2024-10-05T21:07:00.000Z";"2781";0.1092640102;0.1100627052;0.1077266345;0.1094873968;391880786.53;16012063777.63;"2024-10-05T23:59:59.999Z"
"2024-10-04T00:00:00.000Z";"2024-10-04T23:59:59.999Z";"2024-10-04T20:08:00.000Z";"2024-10-04T01:03:00.000Z";"2781";0.1050993499;0.110437355;0.1049593742;0.1092640102;670077063.08;15977956621.78;"2024-10-04T23:59:59.999Z"
"2024-10-03T00:00:00.000Z";"2024-10-03T23:59:59.999Z";"2024-10-03T03:34:00.000Z";"2024-10-03T09:10:00.000Z";"2781";0.1047583655;0.1066378995;0.1015288455;0.1050993499;825842052.08;15367519365.48;"2024-10-03T23:59:59.999Z"
"2024-10-02T00:00:00.000Z";"2024-10-02T23:59:59.999Z";"2024-10-02T07:49:00.000Z";"2024-10-02T19:23:00.000Z";"2781";0.1070427564;0.1094108875;0.1025085249;0.1047589046;910153432.39;15316222632.04;"2024-10-02T23:59:59.999Z"
"2024-10-01T00:00:00.000Z";"2024-10-01T23:59:59.999Z";"2024-10-01T11:16:00.000Z";"2024-10-01T17:24:00.000Z";"2781";0.1144268999;0.1192741118;0.103955219;0.1070427564;1332235464.16;15648760007.25;"2024-10-01T23:59:59.999Z"
"2024-09-30T00:00:00.000Z";"2024-09-30T23:59:59.999Z";"2024-09-30T00:00:00.000Z";"2024-09-30T23:46:00.000Z";"2781";0.1246688267;0.1246689304;0.1137389859;0.1144275593;976744754.62;16726681232.93;"2024-09-30T23:59:59.999Z"
"2024-09-29T00:00:00.000Z";"2024-09-29T23:59:59.999Z";"2024-09-29T02:51:00.000Z";"2024-09-29T23:44:00.000Z";"2781";0.1286700156;0.1303018685;0.1246418152;0.1246737737;856945777.98;18222115127.86;"2024-09-29T23:59:59.999Z"
"2024-09-28T00:00:00.000Z";"2024-09-28T23:59:59.999Z";"2024-09-28T15:16:00.000Z";"2024-09-28T09:10:00.000Z";"2781";0.1237138758;0.13195027;0.1206158895;0.1286711848;1449764972.34;18805187940.8;"2024-09-28T23:59:59.999Z"
"2024-09-27T00:00:00.000Z";"2024-09-27T23:59:59.999Z";"2024-09-27T14:38:00.000Z";"2024-09-27T02:31:00.000Z";"2781";0.1181761499;0.1280800591;0.1171731822;0.1237138758;1367867353.94;18079158135.6;"2024-09-27T23:59:59.999Z"
"2024-09-26T00:00:00.000Z";"2024-09-26T23:59:59.999Z";"2024-09-26T17:18:00.000Z";"2024-09-26T01:40:00.000Z";"2781";0.1085035195;0.1201632448;0.1071451875;0.1181761632;1347684388.35;17268266121.62;"2024-09-26T23:59:59.999Z"
"2024-09-25T00:00:00.000Z";"2024-09-25T23:59:59.999Z";"2024-09-25T01:43:00.000Z";"2024-09-25T23:46:00.000Z";"2781";0.1097746742;0.110884134;0.1081698218;0.1085041849;696620733.53;15853382652.88;"2024-09-25T23:59:59.999Z"
